The Aga Hall Estate,The Aga Hall Estate,3,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']",8.12,1404.0,57834.76,3
Lodha The Park,Lodha,2,"Check out 2,3,4,5 BHK apartments in Worli, now available for sale at Lodha The Park. Prices of apartments in this project, vary between Rs. 4.8 - 18.93 Cr. Here units have different sizes, mostly in range of 839 - 2,254 sq.ft. CARPET area. The housing society is RERA-registered with P51900001339 registration number","['Nirmala Hospitalmaternity', 'DSB International School']",5.64,2254.0,25022.18,2
Lodha The Park,Lodha,3,"Check out 2,3,4,5 BHK apartments in Worli, now available for sale at Lodha The Park. Prices of apartments in this project, vary between Rs. 4.8 - 18.93 Cr. Here units have different sizes, mostly in range of 839 - 2,254 sq.ft. CARPET area. The housing society is RERA-registered with P51900001339 registration number","['Nirmala Hospitalmaternity', 'DSB International School']",14.06,2254.0,62377.99,3
Lodha The Park,Lodha,4,"Check out 2,3,4,5 BHK apartments in Worli, now available for sale at Lodha The Park. Prices of apartments in this project, vary between Rs. 4.8 - 18.93 Cr. Here units have different sizes, mostly in range of 839 - 2,254 sq.ft. CARPET area. The housing society is RERA-registered with P51900001339 registration number","['Nirmala Hospitalmaternity', 'DSB International School']",16.31,2254.0,72360.25,4
Lodha The Park,Lodha,5,"Check out 2,3,4,5 BHK apartments in Worli, now available for sale at Lodha The Park. Prices of apartments in this project, vary between Rs. 4.8 - 18.93 Cr. Here units have different sizes, mostly in range of 839 - 2,254 sq.ft. CARPET area. The housing society is RERA-registered with P51900001339 registration number","['Nirmala Hospitalmaternity', 'DSB International School']",18.93,2254.0,83984.03,5
Hiranandani Empress Hill,Hiranandani Developers,2,"Looking for your dream home? Explore 2,3,4 BHK apartments in Hiranandani Gardens Powai, now available in Hiranandani Empress Hill. This society is RERA approved and P51800052633 is the RERA number. Apartments in this complex are available in price range of Rs. 4.48 - 9.14 Cr. Hiranandani Empress Hill apartments are available in multiples sizes, ranging from 847.87 - 1,579.38 sq.ft. CARPET area","['Hiranandani Foundation School', 'Powai Polyclinic and Hospital']",4.48,157938.0,283.66,2
Hiranandani Empress Hill,Hiranandani Developers,3,"Looking for your dream home? Explore 2,3,4 BHK apartments in Hiranandani Gardens Powai, now available in Hiranandani Empress Hill. This society is RERA approved and P51800052633 is the RERA number. Apartments in this complex are available in price range of Rs. 4.48 - 9.14 Cr. Hiranandani Empress Hill apartments are available in multiples sizes, ranging from 847.87 - 1,579.38 sq.ft. CARPET area","['Hiranandani Foundation School', 'Powai Polyclinic and Hospital']",8.5,157938.0,538.19,3
Hiranandani Empress Hill,Hiranandani Developers,4,"Looking for your dream home? Explore 2,3,4 BHK apartments in Hiranandani Gardens Powai, now available in Hiranandani Empress Hill. This society is RERA approved and P51800052633 is the RERA number. Apartments in this complex are available in price range of Rs. 4.48 - 9.14 Cr. Hiranandani Empress Hill apartments are available in multiples sizes, ranging from 847.87 - 1,579.38 sq.ft. CARPET area","['Hiranandani Foundation School', 'Powai Polyclinic and Hospital']",9.14,157938.0,578.71,4
Lodha Riservo,Lodha,3,"Lodha Riservo society now offers elegantly built 3 BHK apartments in Vikhroli. Here units have different sizes, mostly in range of 1,074 - 1,161 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 2.69 - 4.49 Cr. Lodha Riservo is a RERA- registered society and P51800053072 is the RERA registration number","[""St. Joseph's High School"", 'R Mall']",4.49,1161.0,38673.56,3
Neelam Senroofs,Neelam Realtors,1,"Here are beautifully built 1,2,3 BHK apartments in Nahur, available for sale at Neelam Senroofs. This society offers apartments in the price range of Rs. 1.37 - 4.1 Cr. Apartments in Neelam Senroofs have CARPET area ranging between 423.34 - 1,400 sq.ft.. Neelam Senroofs is a RERA- registered society and P51800008478 is the RERA registration number","['Eastern Express Highway', 'Fortis Hospital']",1.76,1400.0,12571.43,1
Neelam Senroofs,Neelam Realtors,2,"Here are beautifully built 1,2,3 BHK apartments in Nahur, available for sale at Neelam Senroofs. This society offers apartments in the price range of Rs. 1.37 - 4.1 Cr. Apartments in Neelam Senroofs have CARPET area ranging between 423.34 - 1,400 sq.ft.. Neelam Senroofs is a RERA- registered society and P51800008478 is the RERA registration number","['Eastern Express Highway', 'Fortis Hospital']",2.62,1400.0,18714.29,2
Neelam Senroofs,Neelam Realtors,3,"Here are beautifully built 1,2,3 BHK apartments in Nahur, available for sale at Neelam Senroofs. This society offers apartments in the price range of Rs. 1.37 - 4.1 Cr. Apartments in Neelam Senroofs have CARPET area ranging between 423.34 - 1,400 sq.ft.. Neelam Senroofs is a RERA- registered society and P51800008478 is the RERA registration number","['Eastern Express Highway', 'Fortis Hospital']",4.1,1400.0,29285.71,3
Lodha Marq,Lodha,2,"Spacious 2,3,4,5 BHK apartments in Tardeo are available for sale.Check out latest property options at Lodha Marq housing society. Lodha Marq apartments are available in multiples sizes, ranging from 1,063.04 - 3,200 sq.ft. CARPET area. This society is RERA approved and P51900046132 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 6.15 - 22 Cr","['Mumbai Railway station', 'International airport']",6.53,3200.0,20406.25,2
Lodha Marq,Lodha,3,"Spacious 2,3,4,5 BHK apartments in Tardeo are available for sale.Check out latest property options at Lodha Marq housing society. Lodha Marq apartments are available in multiples sizes, ranging from 1,063.04 - 3,200 sq.ft. CARPET area. This society is RERA approved and P51900046132 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 6.15 - 22 Cr","['Mumbai Railway station', 'International airport']",13.66,3200.0,42687.5,3
Lodha Marq,Lodha,4,"Spacious 2,3,4,5 BHK apartments in Tardeo are available for sale.Check out latest property options at Lodha Marq housing society. Lodha Marq apartments are available in multiples sizes, ranging from 1,063.04 - 3,200 sq.ft. CARPET area. This society is RERA approved and P51900046132 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 6.15 - 22 Cr","['Mumbai Railway station', 'International airport']",13.79,3200.0,43093.75,4
Lodha Marq,Lodha,5,"Spacious 2,3,4,5 BHK apartments in Tardeo are available for sale.Check out latest property options at Lodha Marq housing society. Lodha Marq apartments are available in multiples sizes, ranging from 1,063.04 - 3,200 sq.ft. CARPET area. This society is RERA approved and P51900046132 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 6.15 - 22 Cr","['Mumbai Railway station', 'International airport']",22.0,3200.0,68750.0,5
Signia Pearl,Sunteck Realty,4,"Here are beautifully built 4 BHK apartments in Bandra Kurla Complex, available for sale at Signia Pearl. Signia Pearl 's RERA registration number is P51800007921. Signia Pearl has apartments in multiple configurations, in range of 3,485 - 3,882 sq.ft.. Prices of apartments in this project, vary between Rs. 22 Cr","['Shell Mumbai HO', 'US embassy Visa centre']",22.0,3882.0,56671.82,4
Sugee Marina Bay,Sugee Group,3,"Beautiful 3,4,5 BHK apartments in Worli, are now available in Sugee Marina Bay housing project. Prices of apartments in this project, vary between Rs. 7.37 - 23.37 Cr. Sugee Marina Bay 's RERA registration number is P51900011592. Apartments in Sugee Marina Bay have CARPET area ranging between 1,165 - 3,692 sq.ft.","[""Sasmira's Institute"", 'Bank Of Baroda']",11.49,3692.0,31121.34,3
Sugee Marina Bay,Sugee Group,4,"Beautiful 3,4,5 BHK apartments in Worli, are now available in Sugee Marina Bay housing project. Prices of apartments in this project, vary between Rs. 7.37 - 23.37 Cr. Sugee Marina Bay 's RERA registration number is P51900011592. Apartments in Sugee Marina Bay have CARPET area ranging between 1,165 - 3,692 sq.ft.","[""Sasmira's Institute"", 'Bank Of Baroda']",23.37,3692.0,63299.02,4
Sugee Marina Bay,Sugee Group,5,"Beautiful 3,4,5 BHK apartments in Worli, are now available in Sugee Marina Bay housing project. Prices of apartments in this project, vary between Rs. 7.37 - 23.37 Cr. Sugee Marina Bay 's RERA registration number is P51900011592. Apartments in Sugee Marina Bay have CARPET area ranging between 1,165 - 3,692 sq.ft.","[""Sasmira's Institute"", 'Bank Of Baroda']",15.14,3692.0,41007.58,5
Runwal Pinnacle,Runwal Group,1,"For Multiple: Runwal Pinnacle offers beautifully designed 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in Mulund West, Central Mumbai. Prices here start from Rs. 1.18 Cr. Mini Theatre, Swimming Pool and Bar/Chill-Out Lounge are some of the amenities offered here. Property options in Runwal Pinnacle varies between 447.46 - 1,005 sq.ft.","['Fortis Hospital', 'WorkLoft Office Complex']",1.33,1005.0,13233.83,1
Runwal Pinnacle,Runwal Group,2,"For Multiple: Runwal Pinnacle offers beautifully designed 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in Mulund West, Central Mumbai. Prices here start from Rs. 1.18 Cr. Mini Theatre, Swimming Pool and Bar/Chill-Out Lounge are some of the amenities offered here. Property options in Runwal Pinnacle varies between 447.46 - 1,005 sq.ft.","['Fortis Hospital', 'WorkLoft Office Complex']",2.47,1005.0,24577.11,2
Runwal Pinnacle,Runwal Group,3,"For Multiple: Runwal Pinnacle offers beautifully designed 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in Mulund West, Central Mumbai. Prices here start from Rs. 1.18 Cr. Mini Theatre, Swimming Pool and Bar/Chill-Out Lounge are some of the amenities offered here. Property options in Runwal Pinnacle varies between 447.46 - 1,005 sq.ft.","['Fortis Hospital', 'WorkLoft Office Complex']",2.32,1005.0,23084.58,3
Runwal Pinnacle,Runwal Group,1,"For Multiple: Runwal Pinnacle offers beautifully designed 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in Mulund West, Central Mumbai. Prices here start from Rs. 1.18 Cr. Mini Theatre, Swimming Pool and Bar/Chill-Out Lounge are some of the amenities offered here. Property options in Runwal Pinnacle varies between 447.46 - 1,005 sq.ft.","['Fortis Hospital', 'WorkLoft Office Complex']",,1005.0,,1
Adityaraj Anchor,Adityaraj Group,1,"Check out 1,2 BHK apartments in Vikhroli East, now available for sale at Adityaraj Anchor. Adityaraj Anchor apartments are available in multiples sizes, ranging from 375 - 585 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 78.83 L - 1.27 Cr. The housing society is RERA-registered with P51800051334 registration number","['Vikhroli Railway Station', 'ORCHIDS The Intl School Vikhroli']",0.8993,585.0,15372.65,1
Adityaraj Anchor,Adityaraj Group,2,"Check out 1,2 BHK apartments in Vikhroli East, now available for sale at Adityaraj Anchor. Adityaraj Anchor apartments are available in multiples sizes, ranging from 375 - 585 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 78.83 L - 1.27 Cr. The housing society is RERA-registered with P51800051334 registration number","['Vikhroli Railway Station', 'ORCHIDS The Intl School Vikhroli']",1.27,585.0,21709.4,2
Chandak Greenairy,Chandak Group,1,"Beautiful 1,2,3,4 BHK apartments in Borivali East, are now available in Chandak Greenairy housing project. Apartment prices in this housing society vary in the range of Rs. 1.33 - 4.19 Cr. Chandak Greenairy has apartments in multiple configurations, in range of 417.96 - 1,307 sq.ft.. Chandak Greenairy 's RERA registration number is P51800035093","['Western Express Highway', 'Magathane Metro Station']",1.39,1307.0,10635.04,1
Chandak Greenairy,Chandak Group,2,"Beautiful 1,2,3,4 BHK apartments in Borivali East, are now available in Chandak Greenairy housing project. Apartment prices in this housing society vary in the range of Rs. 1.33 - 4.19 Cr. Chandak Greenairy has apartments in multiple configurations, in range of 417.96 - 1,307 sq.ft.. Chandak Greenairy 's RERA registration number is P51800035093","['Western Express Highway', 'Magathane Metro Station']",2.07,1307.0,15837.8,2
Chandak Greenairy,Chandak Group,3,"Beautiful 1,2,3,4 BHK apartments in Borivali East, are now available in Chandak Greenairy housing project. Apartment prices in this housing society vary in the range of Rs. 1.33 - 4.19 Cr. Chandak Greenairy has apartments in multiple configurations, in range of 417.96 - 1,307 sq.ft.. Chandak Greenairy 's RERA registration number is P51800035093","['Western Express Highway', 'Magathane Metro Station']",3.43,1307.0,26243.31,3
Chandak Greenairy,Chandak Group,4,"Beautiful 1,2,3,4 BHK apartments in Borivali East, are now available in Chandak Greenairy housing project. Apartment prices in this housing society vary in the range of Rs. 1.33 - 4.19 Cr. Chandak Greenairy has apartments in multiple configurations, in range of 417.96 - 1,307 sq.ft.. Chandak Greenairy 's RERA registration number is P51800035093","['Western Express Highway', 'Magathane Metro Station']",4.19,1307.0,32058.15,4
Signature Island,Sunteck Realty,4,"Choose your dream home from the wide variety of 4 BHK apartments in Bandra Kurla Complex, available for sale in Signature Island. Apartment prices in this housing society vary in the range of Rs. 39 - 58.5 Cr. Apartments in Signature Island have SUPER area ranging between 4,952 - 7,875 sq.ft.. The apartments here are Ready To Move","['Fortis Hospital Mulund', 'NES International School Mumbai']",58.5,7875.0,74285.71,4
Signia Isles,Sunteck Realty,5,"Signia Isles, one of the known housing societes in Western Mumbai, brings classic yet modern 5 BHK apartments in Bandra Kurla Complex. This society offers apartments in the price range of Rs. 24 Cr. Here units have different sizes, mostly in range of 4,019 sq.ft. BUILTUP area. The property options in this society are Ready To Move","['Lower Parel BDD Chawl Station', 'Mahalaxmi Sports Stadium']",24.0,,,5
Piramal Revanta,Piramal Realty,1,"Looking for your dream home? Explore 1,2,3,4 BHK apartments in Mulund West, now available in Piramal Revanta. Piramal Revanta has apartments in multiple configurations, in range of 471 - 1,400 sq.ft.. The housing society is RERA-registered with P51800005983 registration number. This society offers apartments in the price range of Rs. 1.42 - 5.6 Cr","['M. P. Chowk Metro Station', 'R Mall, Mulund']",1.42,1400.0,10142.86,1
